Circuit and District,2021-03,2021-06,2021-09,2021-12,2022-03,2022-06,2022-09,2022-12,2023-03,2023-06,2023-09,2023-12,2024-03,2024-06,2024-09,2024-12,2025-03,2025-06
"VA,E",-16.41240157,-15.59769237,-17.18826953,-16.06017866,-14.45392994,-15.25355581,-11.58628893,-10.15458721,-8.092452397,-6.161783893,-4.904298905,-3.466118072,-2.321372855,-0.7015104595,-0.893833194,0.1033257992,-2.427649652,-1.801171079
"VA,W",-12.47861298,-12.69316975,-14.17624521,-14.69085335,-16.39515183,-15.67355763,-13.30645161,-11.56034741,-9.025720966,-8.988944079,-6.528239203,-5.892312902,-7.299520219,-5.827464789,-6.628754221,-9.121986326,-6.839186691,-5.552439708
"WV,N",-16.39185257,-23.07692308,-18.62745098,-17.36028537,-20.18561485,-12.94871795,-13.38688086,-7.050359712,-4.360465116,-0.58910162,2.318392581,0.773993808,1.671732523,2.074074074,2.114803625,9.984639017,8.071748879,7.692307692
"WV,S",-25.18796992,-27.85532995,-26.07802875,-23.61652377,-17.25293132,-17.32629727,-16.2037037,-9.081632653,-14.97975709,-9.14893617,-1.215469613,-1.346801347,4.761904762,6.908665105,1.565995526,1.706484642,2.386363636,6.352683461
"LA,E",-15.65393519,-13.86883273,-13.34499761,-12.31362037,-14.0651801,-17.3943416,-15.27165932,-11.34887276,-7.864271457,0.06342494715,1.559792028,3.297413793,8.7305026,9.65560955,12.22269625,10.68224494,7.411835027,7.572254335
"LA,M",-27.21297108,-25.5985267,-27.37100737,-24.33920705,-19.4461168,-17.88366337,-9.878213802,-6.259097525,-3.512705531,2.411454408,4.804804805,9.083850932,10.14717273,6.843267108,10.45845272,8.683274021,5.907172996,8.333333333
"LA,W",-15.63311927,-17.05602751,-17.06203895,-17.32292186,-15.36316095,-11.81491191,-8.977476325,-6.041931811,-4.448716188,-5.184929139,-4.67486819,-4.790760676,-5.359965512,-3.412322275,-2.175516224,-0.9584425309,1.320983905,0.4906771344
"MS,N",-16.11755042,-16.01188195,-15.62908579,-14.97012265,-14.45979763,-10.06274957,-6.234354512,-2.021945506,1.335538031,2.968413041,4.347826087,2.743173525,2.585665872,1.515338179,2.461013645,3.270055113,2.850850361,1.468446602
"MS,S",-18.787227,-16.57172903,-15.68097015,-13.46134909,-12.23388,-10.94537815,-6.74853413,-6.520254893,-3.191736305,-3.196508611,-4.662474789,-4.017041996,-4.723654238,-3.813817473,-1.903932305,0.3424223209,-0.1635837423,-0.08867494299
"TX,N",-18.09447558,-19.40488131,-17.16993608,-16.57411692,-15.72987944,-15.5065129,-12.96789072,-10.85328649,-8.22619623,-5.410447761,3.342845495,0.7673960386,3.581209185,4.183535762,0.7593688363,8.22270248,6.182631686,7.393383818
"TX,E",-16.74157303,-17.33714286,-15.16535044,-12.83314387,-9.473684211,-8.903636112,-5.294545455,-5.781770758,-1.252236136,-0.6981332524,2.733835048,3.229775454,4.438405797,8.298945438,6.78726267,7.985697259,5.782017924,2.653118826
"TX,S",-13.85121487,-13.30650079,-15.97170048,-18.37261866,-18.798151,-16.01716376,-12.25691081,-8.662974684,-2.937051398,1.348521652,3.133491848,5.517540061,1.623459414,2.975206612,3.153561136,0.5335741258,3.680160589,0.9149277689
"TX,W",-18.0201005,-15.67584813,-19.15244909,-16.32747994,-15.77785951,-15.43700341,-9.475833901,-7.505211953,-6.564774381,-2.714392245,-2.737253722,-0.9316303531,1.479981305,2.774796873,6.571826195,4.125587745,4.927847713,9.278042959
"KY,E",-15.68473679,-12.7125589,-14.5364488,-15.18815685,-14.02162539,-14.12979697,-10.31876024,-7.688207861,-6.031102096,-2.200355337,-1.938746839,-0.5484988453,-0.2878111959,0.6008943544,2.865329513,4.179970972,5.469764757,4.25059036
"KY,W",-8.684559649,-6.302827924,-7.052382997,-6.618303571,-7.230666071,-7.718008687,-4.885090657,-3.143301064,1.036019757,4.405020517,4.723166586,8.847482725,7.285084059,6.322968443,4.475362319,0.442126743,-0.2889531007,1.326375299
"MI,E",-14.66477773,-10.29799144,-12.92482197,-13.04,-10.59810652,-8.451867486,-6.307541626,-1.701931923,-2.00250941,-2.992181235,-1.573280368,-2.620496022,-1.997336884,0.4908292431,2.071053051,1.970206631,2.706939799,3.413881748
"MI,W",-18.30951508,-16.17436565,-17.98137497,-18.77988697,-17.284689,-14.04843216,-11.00350643,-7.493309545,-5.549530007,-3.738486545,-0.9380863039,2.700096432,3.253588517,2.270168856,5.473484848,4.075117371,3.373493976,7.484865162
"OH,N",-18.04772691,-16.06471646,-15.85002628,-15.91078067,-16.89914508,-16.45249221,-13.12374211,-9.991158267,-7.472153465,-4.528858852,-3.011663205,-2.292075966,-0.2173549574,-0.4637917006,-0.3376987069,3.074731903,2.563672922,3.825717322
"OH,S",-17.2179206,-16.12253308,-16.11173402,-15.97470585,-17.25778547,-17.26170979,-14.90585774,-12.72592684,-8.945373758,-8.128793877,-6.979444103,-5.138535482,-4.355938285,-1.766733697,-0.3744218486,1.877654422,-0.1575630252,1.995905834
"TN,E",-17.71945996,-16.55254372,-17.73609545,-16.70516262,-14.16144975,-10.3485691,-9.560574356,-9.338229783,-8.728696453,-11.36913767,-7.020903143,-5.951888898,-5.955084532,-2.56038235,-2.514158229,-2.056781225,-1.252124139,-2.408688797
"TN,M",-17.07333245,-18.44467283,-18.63106866,-19.28463855,-16.87055249,-16.18079476,-13.88938289,-12.86500606,-11.58026354,-9.22120878,-7.682775713,-5.995717345,-6.87479604,-4.438555813,-3.646532438,-2.904328018,0.233617568,-1.109185442
"TN,W",-18.87875866,-17.61176975,-18.46652268,-18.95623921,-15.73458691,-10.89343504,-7.483443709,-4.879729391,-3.988457839,-3.022245282,-4.366499642,-5.37372407,-6.017498163,-5.503912258,-3.762928688,-2.811608323,-2.529846504,-4.302901628
"IL,N",-20.8089172,-17.98293891,-15.80934985,-15.98985435,-17.59832703,-20.07772745,-19.02723621,-16.07943227,-13.09907272,-7.367500437,-5.937941272,-6.001038499,-4.878505373,-2.643604366,-0.2155587205,2.576546717,3.451940486,1.943442337
"IL,C",-21.4444034,-22.91039157,-21.61480235,-21.32482394,-18.71620033,-15.43345543,-11.85622318,-10.93706294,-8.562337287,-4.88016171,-4.32136336,-3.737437186,-4.365707055,-5.919854281,-3.117048346,-1.305057096,2.282500827,3.388189739
"IL,S",-18.56513531,-19.72961555,-21.28080986,-16.87071499,-16.04842865,-14.73684211,-12.44059268,-9.160530191,-6.259588831,-5.771604938,-4.948914432,-8.365758755,-10.01636661,-8.38519489,-3.829358415,0.601556971,4.547108039,3.253485878
"IN,N",-13.10316482,-11.68972746,-12.89428076,-14.11553963,-13.99110775,-13.37005033,-10.67449264,-8.551465221,-3.959524857,-1.41400855,0.02227419534,1.778994184,3.344021988,5.503669113,5.48936644,7.148459384,7.82358156,6.597112446
"IN,S",-12.17239371,-13.35896204,-11.97996525,-12.36682906,-12.1076481,-12.58458125,-11.11949832,-9.780682998,-7.224143351,-5.405748366,-3.84791272,-0.5213976165,1.27405801,1.629887987,3.621415953,3.151589408,3.981531049,6.665786695
"WI,E",-14.63567839,-11.87549421,-14.2738023,-14.74552085,-12.99975472,-14.63414634,-10.9824034,-9.243072345,-10.9106287,-10.86478739,-9.208304361,-7.551229508,-6.613924051,-0.6110634648,-2.078774617,-2.050315859,-0.6664407545,-1.812102254
"WI,W",-15.1925078,-7.683772538,-12.22001701,-11.55437352,-11.96319018,-10.99759615,-8.656330749,-10.19044437,-8.327526132,-6.785955436,-2.263083451,3.683035714,5.017103763,6.04853314,6.005788712,4.736275565,8.070937387,6.420765027
"IA,N",-17.82265145,-19.32006633,-12.65116279,-15.6122449,-23.5042735,-23.63823227,-23.10969116,-8.948004837,6.703910615,9.825033647,1.246537396,6.905710491,1.047120419,-0.2450980392,13.95348837,7.826086957,11.52849741,10.81081081
"IA,S",-19.13946588,-15.23713421,-21.94860814,-16.08925426,-17.67584098,-18.33333333,-10.08230453,-15.88523443,-2.674591382,-0.1457725948,3.203661327,14.9750416,4.732824427,5.401459854,3.54767184,4.124457308,6.924198251,9.903047091
"MO,E",-15.45031056,-17.59802671,-17.55629317,-11.81375956,-12.8966432,-12.64450867,-10.09793254,-9.422492401,-6.360548202,-4.348339832,-3.546356814,-2.423564504,-2.251688767,-3.656578135,-2.534822437,-1.757737868,-2.303557717,-0.1923323503
"MO,W",-11.423916,-11.36993899,-11.64317436,-11.16311492,-10.79202862,-10.61743846,-8.315122378,-8.104472593,-6.381028755,-3.850641774,-3.384578715,-2.390827031,-2.692119432,-3.118932039,-2.738374244,-2.111972007,-2.074949698,-1.089815859
"CA,N",-16.58441116,-18.80527137,-20.27632903,-17.94260749,-19.16760175,-19.02829685,-15.18420751,-13.79477251,-10.97930338,-8.202558354,-7.280108254,-5.586749017,-4.890842075,-2.126131303,-1.167542323,0.7136485281,-0.1937695633,-1.526493468
"CA,E",-19.32517925,-17.68308242,-17.98013552,-17.01954397,-19.62567963,-20.56209961,-17.08918062,-12.05839058,-7.51918824,-4.773673257,-0.2457002457,0.7253452364,5.134336756,8.905887174,10.04378763,11.67428334,8.001070377,17.60943183
"CA,C",-18.61277245,-11.51210997,-18.50577754,-17.67947788,-21.03965279,-22.68580165,-19.33109644,-14.8402631,-8.988132417,-2.443069465,2.126660405,4.65485139,5.504083453,5.747351903,6.772646653,4.843173432,3.063813179,6.894206393
"CA,S",-21.42730023,-18.42818428,-22.84127896,-19.68418776,-18.82219706,-24.73975637,-19.82630273,-16.24023701,-12.91852679,-4.91465568,-1.918910554,0.8360128617,-2.43511695,1.083255958,0.09466708741,1.785714286,7.356321839,2.847519902
"WA,E",-20.67440575,-20.59161401,-23.14786351,-20.32854209,-22.5087108,-22.4954792,-22.2,-18.77147766,-15.33273381,-12.22585161,-4.678663239,-3.331570598,-0.6372809347,3.827751196,-2.049622438,-0.6564551422,-4.436130412,-2.867383513
"WA,W",-19.94056179,-18.86907794,-18.2609642,-19.65733866,-20.17722428,-19.28921261,-17.73399015,-16.26386125,-13.51635164,-12.02738447,-8.480336624,-4.923599321,-1.890719861,4.085603113,2.776304156,1.267857143,0.8663366337,1.920135939
"OK,N",-24.37137331,-21.17346939,-22.92243767,-18.93819334,-18.07331628,-19.74110032,-12.75831087,-9.677419355,-6.555671176,1.411290323,-1.647785788,5.303030303,8.68596882,11.43141153,18.42931937,12.84686536,6.967213115,7.582515611
"OK,E",-18.93048128,-13.76884422,-21.71122995,-20.65217391,-17.2823219,-25.75757576,-14.75409836,-8.523592085,-0.956937799,16.32653061,21.79487179,18.30282862,17.06924316,9.041835358,-1.973684211,11.53305204,5.914718019,21.78217822
"OK,W",-12.61387526,-13.47051703,-16.46636771,-18.7593423,-18.94546913,-16.22701839,-11.31629805,-7.313707452,-0.8162255751,1.69370229,0.5084745763,0.6451612903,0.2244389027,-0.1876612714,10.47940255,2.218934911,0.4478726051,2.021151586
"AL,N",-12.6670297,-13.24777028,-14.45918597,-13.16889632,-12.36989784,-8.094282849,-3.412197687,-3.017172203,-3.212917351,-4.048892284,-4.332916009,-2.46566275,-0.07351693717,1.598043676,2.025604552,1.685329714,3.395585739,1.326616289
"AL,M",-11.94974495,-13.45810622,-13.03932415,-12.65888457,-11.59210385,-9.637143972,-6.337824553,-5.138105138,-4.65384382,-5.045645201,-5.365191085,-4.953036944,-4.021891307,-2.455502144,-1.683194154,-0.2437578233,0.5702161517,1.804741609
"AL,S",-10.54950536,-12.09322034,-12.75698471,-12.16531896,-9.972118959,-6.266268196,-2.860020141,-3.119885434,-3.685351502,-5.317288903,-5.940286129,-4.487382536,-1.993569132,-2.454920704,0.1983908299,0.1879283661,0.5139982502,1.770601336
"FL,N",-20.04716981,-18.64886731,-13.49170775,-8.833413346,-7.472959685,-6.663351566,-6.632124352,-4.58135861,0,3.99573788,11.76470588,11.31346578,11.74282678,8.504098361,7.944389275,10.36192365,9.415121255,12.41737488
"FL,M",-15.70912309,-14.75750927,-14.62849842,-15.51441195,-16.02502406,-17.44996228,-15.65729785,-12.62575954,-9.877572284,-3.338530187,0.5766565012,6.110699424,9.809815596,10.05005562,17.02960472,12.60273973,10.16529796,10.99711932
"FL,S",-6.34089587,-5.912485825,-6.621114041,-7.064863103,-8.306418219,-9.372012801,-9.183105824,-8.189390618,-6.787391618,-6.04879391,-2.897799557,-1.742908987,0.4554042924,2.181871431,3.794642857,5.593623949,5.223052809,6.295977835
"GA,N",-18.8961039,-17.4114167,-15.3768404,-12.58645508,-13.14870078,-11.67841494,-8.962057571,-9.739738132,-6.800754243,-3.930112166,-3.524884107,-2.327237129,-3.942990738,-4.185190175,-4.524025385,-4.628701595,-1.998595834,-0.9373388949
"GA,M",-12.71112086,-14.73350685,-14.74905303,-15.59961198,-15.25945471,-13.11877903,-9.483476812,-7.384526974,-6.167988732,-4.544413045,-3.221352968,-1.023811371,-1.319427985,-0.1200192031,-1.260104612,-2.719222631,1.713370697,1.97869102
"GA,S",-16.46588705,-15.94014716,-15.4854621,-14.80835067,-12.99331692,-11.35711659,-8.854246659,-8.478449295,-7.721539457,-8.057422621,-7.321594069,-7.111493758,-6.59773942,-4.738267148,-4.909090909,-5.941236445,-6.547842402,-6.688773093
