Circuit and District,2021-03,2021-06,2021-09,2021-12,2022-03,2022-06,2022-09,2022-12,2023-03,2023-06,2023-09,2023-12,2024-03,2024-06,2024-09,2024-12,2025-03,2025-06
"WV,S",-30.57176196032672,-30.467762326169407,-29.37584803256445,-27.380952380952383,-20.0,-19.454545454545453,-19.88472622478386,-16.39344262295082,-17.436974789915965,-9.480812641083523,-1.1990407673860912,5.759803921568627,16.157760814249365,18.703241895261847,16.62621359223301,9.154113557358054,0.10952902519167579,-1.050420168067227
"LA,E",-44.02810304449648,-35.660762942779286,-34.84672099340318,-30.199818346957315,-24.633891213389123,-26.83959767072525,-11.316259678379987,6.31099544567339,23.38653712699514,42.185238784370476,45.86971121558093,38.188494492044065,34.3644544431946,24.223918575063614,13.075506445672191,13.28609388839681,7.199665131854332,10.20073740270381
"LA,M",-52.24681421864521,-44.0251572327044,-40.12915129151292,-27.32426303854875,-11.51685393258427,-8.426966292134832,8.628659476117104,11.700468018720748,24.6031746031746,24.69325153374233,22.127659574468083,31.145251396648042,24.45859872611465,27.79827798277983,29.152148664343784,22.683706070287542,20.880245649948822,15.206929740134745
"LA,W",-47.80748663101605,-40.16368128474367,-29.176643949161907,-15.072400175515577,4.585040983606557,11.664516129032258,22.782834850455135,28.416429863084474,25.618417830026942,19.13565981049226,9.362423215420462,4.083685375176021,2.2226554883992984,6.653734238603298,8.599651365485183,10.475454194047158,9.174136944497425,2.4554383412149874
"MS,N",-46.24179943767573,-45.11996746644978,-38.71576959395656,-29.568562791975815,-9.832635983263598,3.593923675435346,24.537750385208014,36.24658603199376,47.33178654292343,40.844062947067236,22.424992267244047,14.891179839633448,3.3595800524934383,-0.025393600812595223,2.2486104092976253,4.137587238285144,8.913153885220924,9.652019304038609
"MS,S",-43.78600823045268,-40.789273198232515,-36.84029568506102,-27.54876332193847,-12.445095168374817,-3.782810087493567,10.15242242787153,17.62420205384402,27.313266443701227,25.30088258892752,16.061279960464542,12.482302973100518,2.4518388791593697,1.344717182497332,2.6186927826272086,3.8598699391650935,8.076923076923077,6.781802864363942
"TX,N",-33.23610006187572,-30.52701674277017,-25.980235894166405,-24.34112095753251,-14.431351780749372,-12.69341366561687,-5.440712029859316,4.320048676604807,10.567847748723503,18.5069008782936,21.19325945043267,23.855351414406535,28.001679261125105,27.27633668607729,28.94901666040336,28.620202495879443,23.723625232316607,22.387438910263075
"TX,E",-36.37142367654617,-32.917984005951276,-28.642797668609493,-23.133302794319743,-10.877759827679052,-10.341003604103133,-3.413068844807468,1.5792610250297976,10.604229607250755,19.109461966604822,24.22228933856841,25.90202405397477,22.316307019939906,25.54517133956386,21.63870654023827,22.320596458527493,22.376060741402412,16.439205955334987
"TX,S",-33.37705579658965,-29.783693843594012,-30.85234093637455,-30.977424320164186,-23.186430410419508,-19.257503949447077,-6.979166666666667,2.9176732949265936,22.20031545741325,34.220309137155155,32.960059723777526,37.52257132538823,26.5892223297838,16.443148688046648,15.91802358225716,9.007352941176471,10.553148100943156,12.8693039559339
"TX,W",-38.63553001589437,-33.92978175410059,-30.601009328643524,-24.19959128065395,-13.608288503685992,-14.177267131719326,-5.310709563684442,-3.0330262862278143,2.53690036900369,11.714080803251255,15.778450081452174,22.080630213160333,27.642825011246064,31.28611170554248,33.20603015075377,33.668627823116346,29.762114537444933,25.786471067644662
"KY,E",-34.69441172621385,-29.056603773584904,-27.489724944672776,-25.96320721971538,-18.517034068136272,-21.583469721767596,-15.936341835622411,-6.118143459915612,3.590752582390556,15.131750587007566,18.54253112033195,18.05243445692884,13.319088319088317,12.599138907772488,12.885583023408445,12.648054145516074,16.11146029750681,13.886093781444957
"KY,W",-35.29029744122613,-28.22857142857143,-22.349388014624065,-14.835067913212207,-6.523484544359695,-9.812898089171975,-5.7523029682702145,-2.216238608119304,7.386729654283873,15.42705804458177,18.375325803649,20.991315399279813,16.976604679064184,13.116634799235182,7.229357798165139,0.9103641456582634,-2.2564102564102564,-3.1440162271805274
"MI,E",-38.572759305009924,-30.070895865942365,-27.913429522752498,-21.100917431192663,-11.340410100876904,-12.534562211981568,-4.7239134998950245,2.043911599017767,9.466795567784636,13.141652867680264,13.42735419421184,11.331304409370798,7.97554347826087,9.034060670569453,8.217847429089495,6.993006993006993,7.122184472127848,6.241610738255034
"MI,W",-37.345625326143676,-30.633457540694252,-29.840448469167747,-25.19455252918288,-20.79400333148251,-22.391857506361323,-15.05838967424708,-8.322496749024708,1.0515247108307046,7.468123861566485,10.85383502170767,13.191489361702127,14.533472077696844,15.016949152542372,13.903394255874673,11.716791979949875,9.96365838885524,9.460654288240496
"OH,N",-35.85333399043911,-31.15338230457187,-27.257789678675753,-22.108982198668297,-17.870313460356485,-18.974440640178358,-15.184472517359659,-10.912421493370552,-0.14967259120673526,8.09748427672956,12.191753797593213,14.785077841966121,12.853663106614203,12.909090909090908,12.22964656233515,17.060479399471127,16.42869002158393,15.249597423510467
"OH,S",-36.21891145019824,-32.36801810798216,-29.28103613216572,-22.263774619795562,-16.624281812188,-18.102175410965646,-14.516129032258066,-13.951250801796022,-4.778581111613195,3.4375000000000004,8.764455264759587,16.995900111815132,14.924664847550126,19.265628631187543,19.563514269725797,17.29850270786875,15.701455558996594,11.730319563522992
"TN,E",-41.3252612373528,-36.50601286473385,-33.46851654215582,-30.052808449351897,-18.968197879858657,-16.15034503009837,-3.480911132499198,7.052161976664379,11.163439734868307,14.603396953248119,10.852584344357654,7.372976438531816,3.797269731680527,3.040488922841864,2.0539730134932532,1.761456933870727,5.941043083900227,3.973902728351127
"TN,M",-42.79019466474405,-37.88432886360558,-32.71939328277356,-29.586003810843582,-13.295526149968495,-10.553859572612298,-3.036576949620428,4.649446494464945,5.838178294573644,10.45831301803998,10.55753262158956,14.010343206393983,9.864957656214237,8.673581990730524,7.381974248927039,4.680412371134021,11.041666666666666,9.138911454102356
"TN,W",-53.528304845538656,-45.25380245556166,-37.60026370728492,-27.141355754072517,-3.543107811709128,3.5146443514644354,19.68656453600986,32.36566895059502,37.39723631275144,30.735650767987067,19.891128439017216,10.734232393406892,1.642266072565245,-0.9275290625772941,-0.4172291078659959,1.3654816090540043,5.160320641282565,4.805891898639371
"IL,N",-48.26314326857489,-43.653179190751445,-40.76820307281229,-33.13154645744554,-21.16314273157869,-18.670496512105046,-6.57494079169956,0.5241215008933888,8.491793124806442,15.21821392532795,13.17600193143409,15.380969309159854,12.999543274720255,12.124363676172752,12.463335288784599,10.824689329362226,10.680543626534632,7.586408904510837
"IL,C",-39.50329840900272,-37.60995494529071,-37.0687604092315,-32.751091703056765,-27.613855035279023,-23.89958734525447,-15.803402646502834,-9.740259740259742,5.804164820558263,9.308630817894262,12.213740458015266,16.14208633093525,6.532663316582915,7.895824720959074,6.8427370948379345,4.142469996128533,9.433962264150944,5.862068965517241
"IL,S",-38.6299655927432,-34.66204506065858,-33.896353166986565,-25.353356890459366,-17.787971457696226,-18.037135278514587,-7.200929152148665,-5.266272189349112,2.2938623682579045,7.831715210355987,3.566958698372966,2.8107432854465957,-1.2727272727272727,-1.2605042016806722,2.2356495468277946,4.860267314702309,11.11111111111111,10.27355623100304
"IN,N",-32.24134127509375,-24.71117596984069,-22.2251690757194,-17.5471974242646,-10.483477128438874,-16.76627362300113,-13.384484228473998,-9.904153354632587,-4.437170394617203,7.723656122647002,12.696850393700787,16.666666666666664,13.549000951474785,11.151143938029184,9.65938864628821,8.341776426882811,11.479805597452657,9.659643435980552
"IN,S",-32.28980959851672,-23.3397343574972,-19.790667248146534,-15.403726708074533,-10.247498683517641,-15.353303413004907,-12.548934319269248,-9.635151925900825,-3.0861300164280685,3.3785450061652282,5.670231285749813,9.4875,9.226298583363603,10.567748091603054,13.473758531419158,13.060851695399018,11.827956989247312,13.495145631067961
"WI,E",-37.38619433868565,-26.77226192775739,-24.003438272268184,-20.957585838184624,-16.920026437541306,-23.700870482722237,-19.07252933691503,-12.385390049601682,-6.618933969769292,2.2126188418323247,4.053109713487072,4.7692571624635445,6.593968308059295,11.297141890749195,14.707857622565479,15.572294088750613,14.2423273657289,11.518006382008814
"WI,W",-33.95201448619285,-23.96049896049896,-23.310152990264253,-18.598884066955982,-16.552433173406442,-22.624743677375257,-21.146173376858904,-21.210967250571212,-14.127310061601642,-5.786219081272085,1.3339466421343145,14.16143064282262,18.31659493065519,20.487576183778717,19.337267362687243,12.489415749364944,11.762328213419563,9.494163424124514
"IA,N",-34.29752066115703,-32.68265476854434,-27.477203647416417,-23.392612859097127,-19.025157232704405,-23.695111847555925,-30.343671416596813,-22.589285714285715,-7.3786407766990285,9.337676438653638,24.187725631768952,27.912341407151096,18.553459119496853,17.775571002979145,23.740310077519382,18.48512173128945,22.369584438549957,19.477234401349072
"IA,S",-32.47640741945981,-30.37350246652572,-30.251450676982593,-26.302305721605467,-20.96385542168675,-24.544534412955464,-17.19356627842485,-16.685979142526072,-8.292682926829269,4.694835680751173,9.57803081044876,20.097357440890125,15.957446808510639,16.27162075592569,12.897310513447433,9.322524609148813,13.417431192660551,15.261707988980715
"MO,E",-32.416893163286645,-29.67107494065785,-25.737766156144936,-22.011721412021263,-16.65893271461717,-17.598842815814848,-15.29175050301811,-13.596644529884655,-3.4892353377876764,3.41330212599961,6.88836104513064,11.933656957928802,7.1923076923076925,5.092417955488495,4.574074074074074,4.842790025298157,4.359526372443487,7.447954055994257
"MO,W",-37.29138166894665,-31.667179329437094,-26.407530067979778,-23.246033263238385,-15.248691099476439,-17.308125140670718,-12.719090478446235,-9.339975093399751,-3.886743886743887,4.953728905824714,5.074626865671641,8.461538461538462,5.275843599357258,1.815352697095436,1.368801652892562,0.5572441742654508,2.8491477995421013,4.661232806928171
"CA,N",-32.21535745807591,-26.318719554627695,-25.083510476768904,-20.33898305084746,-20.238095238095237,-26.463921420476012,-21.098500202675314,-16.893617021276597,-4.617537313432836,12.45825841253532,18.16080143847932,25.012800819252433,24.74327628361858,24.05207857469164,23.73913043478261,22.15850911325005,19.874558996471972,14.306757503222242
"CA,E",-35.237011247991425,-29.44689109502127,-28.699405489046338,-25.428519328956966,-23.157241807091903,-30.00423190859077,-27.527127355796686,-22.533317031421934,-9.350195076012376,9.220072551390569,23.3096926713948,33.27020202020202,31.80468981893737,32.74287295876003,29.959100204498977,26.44481288488868,26.359644184213487,23.22768974145121
"CA,C",-32.0009573958832,-22.95904730793217,-21.886476386830743,-17.04724974867155,-17.106652587117214,-26.7095829157351,-26.443418013856814,-25.19909972299169,-17.018164661476764,-2.482511965497291,10.461986992599236,21.79145932183775,26.7511939959063,27.414918289196915,26.804385341589686,23.104332953249713,19.109137397389315,15.480020318320353
"CA,S",-25.68922305764411,-22.490979553654952,-23.764638674664383,-22.362278244631188,-24.14839797639123,-32.20689655172414,-32.03446983889097,-30.867909400681498,-22.899066251667406,-7.934893184130214,6.39470782800441,22.41229341838214,29.354094579008073,31.79558011049724,27.927461139896376,20.037896731406914,16.607222469906375,11.884300985118424
"WA,E",-39.78658536585366,-37.456926257753274,-36.60990712074303,-31.927975406236275,-28.962025316455698,-28.044077134986228,-23.687423687423685,-18.64516129032258,-5.559515324305061,8.346094946401225,28.96,36.161776367961934,36.15094339622642,39.505300353356894,25.43424317617866,23.587652882935352,22.172949002217297,12.917933130699089
"WA,W",-38.16081741448245,-33.73978629792583,-31.837248322147648,-30.02041136756163,-25.844109195402297,-26.18099032441662,-20.08205128205128,-12.474758806372,-0.7023492371034149,9.586224620920072,16.73511293634497,26.736734170725455,29.17073170731707,35.48311444652908,35.31222515391381,28.883495145631066,22.24320241691843,15.250129825168774
"OK,N",-32.66486694947937,-29.319148936170215,-28.676133760879523,-24.87437185929648,-18.15578465063001,-18.663455749548465,-16.249197174052664,-13.578595317725753,-6.368089573128062,3.4789045151739453,11.042944785276074,17.18266253869969,16.367713004484305,15.021459227467812,17.955801104972377,16.44649933949802,16.82723185613359,17.16417910447761
"OK,E",-25.5783212161269,-25.982081323225366,-26.529108327192336,-23.157894736842106,-20.426287744227352,-25.32588454376164,-24.2728184553661,-20.969441517386723,-13.28125,6.608478802992519,20.52980132450331,27.866666666666667,27.670527670527672,17.076023391812868,14.615384615384617,10.948905109489052,8.870967741935484,16.783216783216783
"OK,W",-28.174826486587882,-22.926431628286124,-22.532467532467532,-18.102841042498238,-14.23348132671716,-18.0327868852459,-14.110086616373287,-11.09518348623853,1.3702801461632157,10.451612903225808,13.20754716981132,13.866494679135762,5.977771102433163,5.461448598130842,6.781609195402299,7.108467856131408,10.289115646258503,10.384934921074494
"AL,N",-39.0570646140182,-34.716459197786996,-28.237344093910494,-19.467554076539102,-7.46903084770464,-3.252741774675972,4.140575079872204,7.605888429752067,13.020081375508596,12.121602473270643,7.7310099398699235,7.920316812672507,6.445244454767159,9.064797794117647,10.58207085089418,9.273879684198821,8.815186559022473,4.761403139155167
"AL,M",-41.80770174147658,-37.884745762711866,-27.74893817838603,-17.822318526543878,-4.130663856691254,3.3398821218074657,10.080557369910734,14.612173148758515,18.883271048582106,17.680608365019012,9.691455696202532,6.039110429447852,3.7167159763313613,0.5205528630407468,5.301117922827263,8.389079732417285,8.343733285790693,8.446428571428571
"AL,S",-43.60151726891595,-40.213523131672595,-29.340688205936434,-18.815224063842848,-7.008849557522123,2.5669642857142856,9.516728624535316,13.875236294896029,19.946707270650933,15.560391730141458,8.791581805838424,11.653386454183266,8.31482069184386,9.855618330194602,11.57566302652106,6.244424620874219,7.295634339290946,6.057142857142858
"FL,N",-34.21658986175115,-31.7823016202742,-21.804511278195488,-15.496619864794592,-7.180385288966725,-5.785627283800244,-7.872596153846153,-4.369230769230769,1.7610062893081762,10.471881060116354,17.09067188519243,20.785070785070786,20.828182941903584,14.277355178466939,13.259052924791087,11.827384123601492,9.258312020460357,18.125960061443934
"FL,M",-26.322495945632866,-21.11819355913844,-20.19281797275783,-16.657068816585085,-12.750904040668729,-18.94475546635682,-19.090103069932397,-19.830713422007253,-16.560547813551178,-4.88694858930084,4.9106225600986235,17.826617826617827,26.549564466201137,26.539699938343496,31.760020890455674,28.582749161840905,24.73405768246203,26.91245736560013
"FL,S",-23.069139966273188,-14.308582686861223,-12.973779854620975,-14.580355319583418,-12.816016367090457,-20.462710159505676,-21.02319337758222,-18.057215714399554,-13.752933288635601,-6.160794941282746,-0.07554296506137866,8.217446270543615,13.565251190360508,20.4177897574124,26.185976185976184,25.47627606038821,23.102592624283393,19.354065073147332
"GA,N",-48.143353546365056,-41.81479469067764,-33.45657035921311,-25.26546075449549,-9.499408750492707,-7.463980789754536,-0.13718362027573908,8.13936884192489,15.6068524970964,21.567072731204497,19.74036678343293,19.642149742506273,15.955042069571771,11.621701749184703,9.579533069465954,5.303239335577507,4.971029403801375,5.667994687915007
"GA,M",-45.897624295860886,-40.70943605376195,-31.987127916331453,-22.59865971705138,-3.961068356722499,4.884318766066838,14.14714927844807,22.053872053872052,24.793777987273156,22.86096256684492,16.55958549222798,13.733990147783251,10.859301227573184,7.979688066739208,7.005689900426742,3.6209286209286207,4.071550255536627,3.4094726234464225
"GA,S",-49.43802183686577,-43.006416131989,-33.1588132635253,-21.041666666666668,-3.0803429660209587,3.6346091990993887,11.97780678851175,15.270448548812665,19.986893840104848,17.908131595282434,13.028271640921012,12.732474964234623,6.908793009284545,2.2637536193735195,-0.9283135636926251,-8.121827411167512,-10.191570881226053,-10.888030888030888
